n_ticks,avg_naive_rv,avg_tsrv,true_iv
20,0.0002504794317310676,0.0001497880218894363,0.000248015873015873
50,0.0002701950058952492,0.00016403492069273998,0.000248015873015873
100,0.0002984315381035517,0.00019604872997476785,0.000248015873015873
200,0.00035330500868438556,0.00021301877016809102,0.000248015873015873
390,0.00044404286735467367,0.00022992555142788514,0.000248015873015873
780,0.0006407633519835777,0.00022622078793305708,0.000248015873015873
1560,0.0010303173067892062,0.00022501009160742682,0.000248015873015873
3120,0.0018108618681744585,0.00023375793870346892,0.000248015873015873
6240,0.0033718825357223333,0.00023084054492323493,0.000248015873015873
11700,0.006102581189290527,0.0002358693451643106,0.000248015873015873
23400,0.011949521750579695,0.00024028669572735006,0.000248015873015873
