T,a,b,rho,m,sigma,min_total_variance
0.08333333333333333,0.016602984141193274,0.12447371874459805,-0.4506047600851313,-0.000739155751835648,0.11464564359883068,0.029342479254907395
0.25,0.01985231602821902,0.13267615394480348,-0.4477594679955886,0.0003506948478987407,0.1260995594179283,0.0348118749625863
0.5,0.02511692308414713,0.1450615682768077,-0.45197279463059026,-0.000504648890936079,0.13433281963549704,0.04249952553703593
1.0,0.03572389334082018,0.16886918171194154,-0.4501393698402211,0.0012643840771431008,0.14517149215954264,0.0576147584125392
2.0,0.05607471535916707,0.21698326947503407,-0.44457396129933635,0.003987169529362752,0.16620270588671027,0.08837804937442878
